Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Tickets,us open tennis tickets,USD,8100,260,320,390,720,590,1300,2900,4400,14800,14800,40500,22200,0.87,9.42
Tickets,la tickets,USD,590,480,480,590,590,590,590,590,590,590,590,590,480,0.46,1.37
Tickets,ticket sellers,USD,6600,6600,6600,8100,5400,5400,6600,6600,6600,4400,5400,6600,4400,0.26,2.7
Tickets,marlins tickets,USD,5400,320,210,390,390,720,3600,9900,14800,14800,9900,9900,6600,0.63,2.07
Tickets,tickets for less,USD,6600,8100,5400,4400,3600,3600,5400,5400,4400,6600,5400,9900,12100,0.26,0.83
Tickets,mets tickets,USD,14800,880,1900,3600,1900,4400,14800,33100,33100,27100,27100,27100,12100,0.67,1.78
Tickets,pittsburgh pirates tickets,USD,8100,8100,1300,2900,1900,2900,9900,14800,12100,14800,14800,12100,9900,0.77,2.29
Tickets,dallas cowboys tickets,USD,27100,49500,33100,33100,3600,2400,3600,14800,18100,14800,22200,49500,74000,0.84,6.9
Tickets,rockies tickets,USD,14800,390,390,1000,1300,2400,8100,33100,33100,40500,33100,18100,8100,0.72,2.12
Tickets,atlanta braves tickets,USD,14800,5400,1300,2400,1900,4400,9900,33100,33100,27100,27100,18100,8100,0.76,2.72
Tickets,arsenal tickets,USD,40500,49500,40500,49500,60500,40500,40500,27100,12100,9900,27100,40500,40500,0.74,1.26
Tickets,detroit tigers tickets,USD,18100,18100,1000,2400,2900,5400,14800,33100,33100,33100,33100,27100,22200,0.72,2.64
Tickets,seattle mariners tickets,USD,9900,390,590,1300,1900,2900,6600,18100,18100,18100,18100,18100,9900,0.63,3.11
Tickets,buffalo bills tickets,USD,8100,12100,8100,4400,590,590,880,2900,2400,4400,8100,18100,27100,0.83,6.44
Tickets,st louis cardinals tickets,USD,14800,27100,1600,4400,3600,6600,12100,22200,22200,18100,22200,14800,12100,0.73,3.29
Tickets,tickets west,USD,9900,8100,9900,5400,12100,9900,9900,12100,9900,8100,8100,8100,9900,0.05,1.41
Tickets,detroit lions tickets,USD,9900,22200,18100,12100,1000,880,880,2900,2900,3600,9900,22200,33100,0.76,7.04
Tickets,twickenham tickets,USD,2900,3600,6600,3600,3600,2900,2900,3600,6600,1300,880,1600,1900,0.54,1.93
Tickets,us open tickets,USD,22200,880,1000,1900,2900,1900,3600,6600,8100,27100,22200,135000,49500,0.91,8.23
Tickets,angels baseball tickets,USD,2400,110,140,390,480,1000,3600,4400,4400,3600,5400,4400,3600,0.62,2.2
