,cluster,dist_to_0,dist_to_1,word,cluster_name
130,0,0.19866205922113012,0.7796201030314631,opportunity,Stay Strong
131,0,0.1967268187590589,0.8974665577965525,others,Stay Strong
132,0,0.19012966657743227,0.8744034388847736,part,Stay Strong
133,0,0.22136985453899832,0.8258327004266812,past,Stay Strong
134,0,0.2143500384617931,0.8524002691323307,pay,Stay Strong
135,0,0.6226667664704654,0.6749639111792676,peace,Stay Strong
136,1,1.469400123788625,0.8256827139220463,people,Help Nation
137,0,0.31827674837004094,0.7465354243133525,percent,Stay Strong
138,0,0.4049118037242598,0.8307743175363576,plan,Stay Strong
139,0,0.2536266283362911,0.8654937264569914,policy,Stay Strong
140,0,0.1975008886517954,0.8890530782746012,possible,Stay Strong
141,0,0.26367370785826233,0.7852078389440765,power,Stay Strong
142,0,0.17677132017931999,0.8617328203017,private,Stay Strong
143,0,0.423454189207519,0.7935928328707079,program,Stay Strong
144,0,0.43807543683974254,0.7783952283153958,programs,Stay Strong
145,0,0.19760026408499257,0.8062350843909231,progress,Stay Strong
146,0,0.1971343515780877,0.8941863853310901,prosperity,Stay Strong
147,0,0.16923953727701493,0.8435820150313117,protect,Stay Strong
148,0,0.18018835494454408,0.8240658467729911,provide,Stay Strong
149,0,0.22563345450763903,0.8537069122550536,public,Stay Strong
150,0,0.22644595899104375,0.814787851546435,put,Stay Strong
151,0,0.1837454798894616,0.8622338093920326,reduce,Stay Strong
152,0,0.22710605333370254,0.7570141610252383,reform,Stay Strong
153,0,0.29411147331419824,0.8974373408958067,resources,Stay Strong
154,0,0.2435323965572035,0.8132062595771108,responsibility,Stay Strong
155,0,0.36668584840783236,0.7270406521524315,right,Stay Strong
156,0,0.2316722054128445,0.8790794113569328,rights,Stay Strong
157,0,0.17936611569791977,0.8583855102234945,said,Stay Strong
158,0,0.272887087364583,0.7809373400287234,say,Stay Strong
159,0,0.22686394124319542,0.8250986557904282,school,Stay Strong
160,0,0.25530424330743606,0.8007237942448348,schools,Stay Strong
161,0,0.189320874746925,0.9039483239487972,second,Stay Strong
162,0,0.5178026324523706,0.6741523756971837,security,Stay Strong
163,0,0.19010414229340727,0.9211796940155939,service,Stay Strong
164,0,0.18496444918183333,0.8927826154632692,set,Stay Strong
165,0,0.15025266930136236,0.8621666830488477,since,Stay Strong
166,0,0.3299755518458477,0.8456475731523732,social,Stay Strong
167,0,0.19818735430112688,0.8932691196479491,special,Stay Strong
168,0,0.32561474944752583,0.7772989348635282,spending,Stay Strong
169,0,0.2336522478245192,0.8658714332315797,spirit,Stay Strong
170,0,0.17882918925673072,0.8704642980200579,stand,Stay Strong
171,0,0.27582397915312645,0.7484103687742079,state,Stay Strong
172,0,0.2131458944378229,0.7596354867800602,still,Stay Strong
173,0,0.24941679220880117,0.8618465967338214,strength,Stay Strong
174,0,0.18006302801548035,0.8804440607987017,strengthen,Stay Strong
175,0,0.16822239940355355,0.8080461072666727,strong,Stay Strong
176,0,0.24847138831724722,0.7226530645881988,support,Stay Strong
177,0,0.24173055520237333,0.7618372976114199,system,Stay Strong
178,0,0.2229859375004146,0.7195254595245181,take,Stay Strong
179,0,0.6504205797405241,0.6730245419425497,tax,Stay Strong
180,0,0.2670301689913002,0.8412792913199284,taxes,Stay Strong
181,0,0.19292212221524843,0.907826267831989,third,Stay Strong
182,1,0.5758500701844368,0.4254086895462053,time,Help Nation
183,0,0.29518272665038103,0.6741386542973342,today,Stay Strong
184,0,0.32672782759513735,0.6138053040743933,together,Stay Strong
185,1,0.6502852445285117,0.5325369557210653,tonight,Help Nation
186,0,0.25883979353854214,0.8543066478026768,toward,Stay Strong
187,0,0.24775787825982193,0.810436434522858,trade,Stay Strong
188,0,0.3537967398129589,0.7814350841394461,union,Stay Strong
189,0,0.2790259996482074,0.759621677931939,want,Stay Strong
190,0,0.3883769863552333,0.6919840674910681,war,Stay Strong
191,0,0.2408519227799008,0.705917803887172,way,Stay Strong
192,0,0.19745925837151418,0.9062787940465872,within,Stay Strong
193,0,0.2297170943660675,0.8488418190781637,women,Stay Strong
194,1,0.6450274451913096,0.5082894097368061,work,Help Nation
195,0,0.2399985927988929,0.8183272881588541,workers,Stay Strong
196,0,0.2871134967917314,0.762682979655184,working,Stay Strong
197,1,1.2273956718590635,0.7352441914518537,world,Help Nation
198,0,0.33882840291241867,0.625356918951656,would,Stay Strong
199,1,0.8753715010939428,0.45419557459738286,years,Help Nation
