Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Tickets,toronto fc tickets,USD,2900,480,260,390,2400,2400,6600,4400,4400,3600,6600,3600,1900,0.61,1.45
Tickets,indians tickets,USD,8100,2900,480,880,1000,1600,4400,12100,14800,18100,18100,14800,8100,0.66,1.79
Tickets,maple leafs tickets,USD,2400,5400,4400,4400,3600,2400,2400,720,260,390,590,1300,3600,0.82,2.21
Tickets,world cup final tickets,USD,2900,880,880,880,880,720,1300,1600,2900,14800,14800,140,170,0.26,0.92
Tickets,mavericks tickets,USD,3600,1900,5400,5400,6600,6600,9900,8100,1000,320,590,880,880,0.72,2.81
Tickets,suns tickets,USD,2900,1600,3600,5400,5400,8100,6600,2900,590,880,720,1000,880,0.69,2.55
Tickets,charger tickets,USD,2900,4400,3600,5400,590,170,210,1300,1300,1300,1900,5400,8100,0.89,7
Tickets,toronto blue jays tickets,USD,9900,880,880,1300,1900,2400,6600,14800,18100,22200,18100,22200,6600,0.78,2.92
Tickets,raider tickets,USD,1900,5400,2900,2900,210,170,210,720,1300,880,1600,3600,4400,0.87,3.47
Tickets,rockets tickets,USD,9900,9900,18100,18100,14800,12100,18100,14800,1600,720,1000,1000,1300,0.71,3.25
Tickets,twins tickets,USD,9900,480,480,1000,880,1900,5400,18100,18100,27100,27100,14800,8100,0.75,1.72
Tickets,seattle sounders tickets,USD,2900,2900,1300,720,880,1600,3600,2900,4400,2900,8100,4400,2900,0.53,2.2
Tickets,tennessee titans tickets,USD,2400,4400,1900,1600,390,260,320,1900,1600,1600,2900,5400,5400,0.8,4.78
Tickets,ticket king,USD,6600,8100,8100,8100,6600,5400,6600,6600,6600,6600,9900,8100,8100,0.17,0.41
Tickets,calgary flames tickets,USD,3600,8100,6600,6600,4400,2400,4400,1300,260,480,720,1600,4400,0.82,3.81
Tickets,celtic tickets,USD,3600,3600,4400,4400,2900,2400,2400,1900,1600,1000,4400,6600,4400,0.24,2.28
Tickets,liverpool tickets,USD,18100,12100,14800,14800,18100,14800,22200,27100,4400,6600,12100,22200,27100,0.89,0.97
